region,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2026,10.184422124628,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2026,227.388645396,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2026,14.202604213199999,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2026,0.2669842476,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2026,2.8420078392,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2026,9.300552314399999,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2027,9.274830452784,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2027,227.086110828,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2027,17.679687624,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2027,0.230485536,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2027,3.21259075056,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2027,9.300552314399999,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2028,8.988935100264,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2028,227.085477408,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2028,20.2223651184,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2028,0.0488666088,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2028,3.5831736626399997,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2028,9.300552314399999,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2029,9.3806824752,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2029,227.085477408,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2029,27.3249288432,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2029,0.031763311488,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2029,3.9537565743600003,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2029,9.300552314399999,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2030,9.5753004696,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2030,227.085477408,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2030,33.4920627396,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2030,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2030,4.3243394860799995,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2030,9.300552314399999,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2031,9.7499453076,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2031,227.75128171199998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2031,33.7234766184,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2031,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2031,8.476955584559999,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2031,11.7048366144,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2032,10.19051012556,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2032,228.417086052,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2032,36.613112076,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2032,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2032,12.62957167944,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2032,14.109120914399998,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2033,10.409133491639999,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2033,229.08289035599998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2033,38.236331196,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2033,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2033,16.78218777468,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2033,16.5134052144,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2034,10.25837366364,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2034,229.74869466,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2034,37.580966208,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2034,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2034,20.934803873519996,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2034,18.9176895144,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2035,9.772225173504001,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2035,230.414498964,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2035,35.9592207876,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2035,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2035,25.0874199684,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2035,21.3219738144,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2036,9.401361835032,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2036,230.414498964,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2036,35.298358650000004,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2036,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2036,25.74045842364,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2036,28.191468311999998,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2037,9.472212951624,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2037,230.414498964,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2037,35.257422150000004,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2037,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2037,26.39349687888,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2037,35.0609628132,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2038,9.319766720364,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2038,230.412498876,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2038,35.0367068124,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2038,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2038,27.04653533412,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2038,41.93045729999999,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2039,9.33383267532,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2039,230.30733286799997,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2039,36.401298155999996,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2039,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2039,27.699573789,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2039,48.799951812,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2040,9.021045775320001,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2040,230.10006149999998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2040,35.1535231728,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2040,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2040,28.35261224424,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2040,55.669446324,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2041,9.545078868840001,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2041,229.84460928000001,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2041,34.2487525572,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2041,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2041,30.9418352676,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2041,61.598768975999995,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2042,9.2222857143,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2042,229.52907093599998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2042,31.516414689599998,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2042,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2042,33.531058296000005,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2042,67.528091628,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2043,8.7505140744,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2043,228.975346908,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2043,28.9192169664,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2043,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2043,36.1202813244,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2043,73.45741428,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2044,8.539219479888,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2044,228.264201216,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2044,29.1955389588,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2044,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2044,38.709504349199996,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2044,79.386736932,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2045,8.31728178288,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2045,227.367024912,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2045,27.7030556568,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2045,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2045,41.298727388399996,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2045,85.31605958399999,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2046,8.9720925948,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2046,226.80830106,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2046,28.4238112464,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2046,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2046,42.2484215796,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2046,91.072213128,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2047,9.443120698908,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2047,226.25902713600001,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2047,29.0590711704,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2047,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2047,43.1975916468,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2047,96.827424768,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2048,9.6207139152,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2048,225.797629536,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2048,30.3007286052,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2048,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2048,44.144736674399994,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2048,102.58335756,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2049,9.7117563276,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2049,225.27113896799997,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2049,31.660982639999997,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2049,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2049,45.093495765600004,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2049,108.334667124,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2050,9.975098810952,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2050,224.80610324399998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2050,34.4074898736,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2050,0.002130618168,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2050,45.5765246928,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2050,114.086068452,PJ,2023
